dataset,engine,experiment,file,mean_precisions,mean_time,p95_time,p99_time,parallel,rps,total_time,type,upload_time
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-search-0-skipUpload.json,0.9961040000000001,0.009025970520016927,0.014358439999887194,0.01664538400120364,8,633.2489541766514,15.791577600000892,search,
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-search-0.json,0.9961040000000001,0.010888380790024894,0.019149470000411343,0.04311654899738646,8,548.0988533552829,18.24488399999973,search,
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-upload.json,,,,,4,,907.907093400001,upload,257.42878740000015
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-search-0-skipUpload.json,0.99142,0.03547705508667229,0.047453340004722115,0.07011101699717988,8,205.94918349160537,72.8335006999987,search,
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-search-0.json,0.9920066666666666,0.04712700620666971,0.06251110500052162,0.33507292699898245,8,159.69598619746122,93.92847220000112,search,
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-upload.json,,,,,4,,3064.3486307999992,upload,91.70816689999629
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-search-0-skipUpload.json,0.9915866666666666,0.008635358140005458,0.010933910001040204,0.013778596000593099,8,722.5954483915181,20.758503299999575,search,
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-search-0.json,0.9915866666666666,0.00976396877998656,0.013972025000657595,0.02062339500225792,8,652.2239244397342,22.99823639999886,search,
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-upload.json,,,,,4,,337.9900487999985,upload,82.83572890000141
dbpedia-openai-100K-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-100K-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-100K-1536-angular-search-0-2025-08-25.json,0.9795000000000001,0.01022002979996032,0.012222519998977078,0.01462532700265002,8,462.5912366383695,10.80867859999853,search,
