dataset,engine,experiment,file,mean_precisions,mean_time,p95_time,p99_time,parallel,rps,total_time,type,upload_time,mean_time_ms,p95_time_ms
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-search-0-skipUpload.json,0.996104,0.0090259705200169,0.0143584399998871,0.0166453840012036,8,633.2489541766514,15.791577600000892,search,,9.0259705200169,14.3584399998871
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-search-0.json,0.996104,0.0108883807900248,0.0191494700004113,0.0431165489973864,8,548.0988533552829,18.24488399999973,search,,10.8883807900248,19.149470000411302
arxiv-titles-384-angular-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-filters-upload.json,,,,,4,,907.907093400001,upload,257.42878740000015,,
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-search-0-skipUpload.json,0.99142,0.0354770550866722,0.0474533400047221,0.0701110169971798,8,205.94918349160537,72.8335006999987,search,,35.477055086672195,47.4533400047221
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-search-0.json,0.9920066666666666,0.0471270062066697,0.0625111050005216,0.3350729269989824,8,159.69598619746122,93.92847220000112,search,,47.1270062066697,62.511105000521596
arxiv-titles-384-angular-no-filters,milvus,milvus-on-disk-default,arxiv-titles-384-angular-no-filters\milvus\milvus-on-disk-default-arxiv-titles-384-angular-no-filters-upload.json,,,,,4,,3064.3486307999992,upload,91.70816689999629,,
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-search-0-skipUpload.json,0.9915866666666666,0.0086353581400054,0.0109339100010402,0.013778596000593,8,722.5954483915181,20.75850329999957,search,,8.635358140005401,10.9339100010402
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-search-0.json,0.9915866666666666,0.0097639687799865,0.0139720250006575,0.0206233950022579,8,652.2239244397342,22.99823639999886,search,,9.7639687799865,13.972025000657501
arxiv-titles-384-angular-no-filters,qdrant,qdrant-on-disk-default,arxiv-titles-384-angular-no-filters\qdrant\qdrant-on-disk-default-arxiv-titles-384-angular-no-filters-upload.json,,,,,4,,337.9900487999985,upload,82.83572890000141,,
dbpedia-openai-100K-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-100K-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-100K-1536-angular-search-0-2025-08-25.json,0.9795,0.0102200297999603,0.012222519998977,0.01462532700265,8,462.5912366383695,10.80867859999853,search,,10.2200297999603,12.222519998976999
dbpedia-openai-100K-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-100K-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-100K-1536-angular-search-0-2025-08-skipUpload.json,0.96316,0.0067073560200136,0.0088541050066851,0.0102913580051245,8,533.354701656132,9.374624399999448,search,,6.7073560200136,8.8541050066851
dbpedia-openai-100K-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-100K-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-100K-1536-angular-upload-2025-08-25.json,,,,,4,,454.6161275999984,upload,12.869063300000562,,
dbpedia-openai-100K-1536-angular,qdrant,qdrant-on-disk-default,dbpedia-openai-100K-1536-angular\qdrant\qdrant-on-disk-default-dbpedia-openai-100K-1536-angular-search-0-skipUpload.json,0.99544,0.0145519204999451,0.0179010099986044,0.0220348860033846,8,360.24566852497543,13.879417399999513,search,,14.5519204999451,17.9010099986044
dbpedia-openai-100K-1536-angular,qdrant,qdrant-on-disk-default,dbpedia-openai-100K-1536-angular\qdrant\qdrant-on-disk-default-dbpedia-openai-100K-1536-angular-search-0.json,0.9954399999999998,0.0146764218400319,0.0176205350009695,0.0207064720036578,8,361.1598107026061,13.844286799998372,search,,14.6764218400319,17.620535000969497
dbpedia-openai-100K-1536-angular,qdrant,qdrant-on-disk-default,dbpedia-openai-100K-1536-angular\qdrant\qdrant-on-disk-default-dbpedia-openai-100K-1536-angular-upload.json,,,,,4,,48.63612019999709,upload,18.60438099999737,,
dbpedia-openai-1M-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-1M-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-1M-1536-angular-search-0-skipUpload.json,0.986,0.0868454503399782,0.1235590049995153,0.1391089420000207,8,82.98255363174788,60.25362900000073,search,,86.8454503399782,123.55900499951531
dbpedia-openai-1M-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-1M-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-1M-1536-angular-search-0.json,0.98586,0.0887673467000106,0.1228014299988899,0.5036530520013013,8,80.5628080388451,62.06337789999998,search,,88.7673467000106,122.8014299988899
dbpedia-openai-1M-1536-angular,milvus,milvus-on-disk-default,dbpedia-openai-1M-1536-angular\milvus\milvus-on-disk-default-dbpedia-openai-1M-1536-angular-upload.json,,,,,4,,5074.2393197,upload,134.77473930000042,,
dbpedia-openai-1M-1536-angular,qdrant,qdrant-on-disk-default,dbpedia-openai-1M-1536-angular\qdrant\qdrant-on-disk-default-dbpedia-openai-1M-1536-angular-search-0-skipUpload.json,0.98776,0.0201492994799991,0.0260313950027921,0.0318590789948212,8,292.1124804578524,17.116694199998165,search,,20.149299479999097,26.0313950027921
